nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée de la Résistance et de la Déportation de l'Ain;3, Montée de l'Abbaye;01130;NANTUA;0474750750;AUVERGNE-RHÔNE-ALPES;AIN;46.152378,5.608744
Musée des Manufactures de Dentelles;14, avenue de la Gare;43130;RETOURNAC;0471594163;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.202545,4.035302
Château de Saint-Germain de Livet;;14100;SAINT-GERMAIN DE LIVET;0231310003;NORMANDIE;CALVADOS;49.074299,0.191032
Musée Historique de Villèle;Domaine Panon-Desbassayns-Villèle B.P. N° 2;97435;SAINT-GILLES-LES-HAUTS;0262556410;LA REUNION;REUNION;-21.044558662,55.3221880362
Musée du Maréchal Leclerc de Hautecloque et de la Libération de Paris - Musée Jean Moulin;23, Allée de la 2ème DB;75015;PARIS;0140643944;ÎLE-DE-France;PARIS;48.840614,2.319773
Association de l'Horlogerie Aliermontaise;Ville de Saint-Nicolas d'Aliermont B.P. 13;76510;SAINT-NICOLAS-D'ALIERMONT;0235045398;NORMANDIE;SEINE-MARITIME;49.8421027228,1.24198039608
Musée Archéologique et Historique;44, Rue de Montmoreau;16000;ANGOULEME;0545949075;NOUVELLE-AQUITAINE;CHARENTE;45.647813,0.160838
Muséum d'Histoire Naturelle;35, allées Jules Guesde;31000;TOULOUSE;0567738484;OCCITANIE;HAUTE-GARONNE;43.594189,1.448945
Musée départemental d'Art Moderne;8, Bd Maréchal Joffre B.P. 60413;66403;CERET Cedex;0468873192;OCCITANIE;PYRENEES ORIENTALES;
Musée des Tisserands Mayennais;Place Billard de Veaux;53300;AMBRIERES-LES-VALLEES;0243049619;PAYS DE LA LOIRE;MAYENNE;48.403045,-0.630604
Musée du Pavillon de Vendôme;13, Rue de la Molle;13100;AIX-EN-PROVENCE;0442918875;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.531176,5.442093
Musée du Palais Lascaris;15, Rue Droite;06300;NICE;0493627240;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.697686,7.27733
Musée National de la Marine de Toulon;Place Monsenergue Quai de Norfolk;83000;TOULON;0494020201;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.1364016655,5.93275623187
Muséum d'Histoire Naturelle de Toulon et du Var;737 Chemin du Jonquet Jardin du Las;83200;TOULON;0483954420;PROVENCE-ALPES-CÔTE D'AZUR;VAR;43.15297354,5.93725605869
Atelier Musée Louis Leygue;106, Rue des Venages;41100;NAVEIL;0254772613;CENTRE-VAL DE LOIRE;LOIR ET CHER;47.794146,1.031198
Ecomusée de l'Île de Groix;Port-Tudy;56590;ILE DE GROIX;0297868460;BRETAGNE;MORBIHAN;47.639776,-3.444877
Musée Georges Garret;1, Rue des Ursulines;70000;VESOUL;0384765154;BOURGOGNE-FRANCHE-COMTE;HAUTE-SAONE;47.623525,6.155794
Musée de Givet;Mairie 11, Place Carnot;08600;GIVET;0324420684;GRAND EST;ARDENNES;50.1133571937,4.82014456381
Musée Jean de la Fontaine;12, Rue Jean de la Fontaine;02400;CHATEAU-THIERRY;0323690560;HAUTS-DE-France;AISNE;49.047062,3.400374
Musée Minéralogique de la Société Industrielle de Mulhouse;3, Avenue Alfred-Werner;68093;MULHOUSE CEDEX;0389336888;GRAND EST;HAUT-RHIN;
Musée Théodore Deck et des Pays du Florival;1, Rue du Quatre Février;68500;GUEBWILLER;0389742289;GRAND EST;HAUT-RHIN;47.905522,7.214504
